name,discipline,games
Gymnastics at the 1976 Summer Olympics – Men's Floor Exercises,Men's Floor exercises,1976 Summer Olympics
Luge at the 1972 Winter Olympics - Men's Singles,Men's Singles,1972 Winter Olympics
Gymnastics at the 1972 Summer Olympics – Men's artistic individual all-around,Men's Gymnastics; individual all-round,1972 Summer Olympics
Wrestling at the 1932 Summer Olympics - Men's Freestyle Light Heavyweight,Men's Freestyle Wrestling; Light Heavyweight 79-87kg,1932 Summer Olympics
Fencing at the 1948 Summer Olympics - Men's Foil; Individual,Men's Foil individual,1948 Summer Olympics
Shooting at the 1980 Summer Olympics - Trap Shooting,,1980 Summer Olympics
Alpine skiing at the 2010 Winter Olympics – Women's Super-G,Women's Super-G,2010 Winter Olympics
Sailing at the 1996 Summer Olympics - Women's Sailboard,Women's Sailboard,1996 Summer Olympics
Fencing at the 1968 Summer Olympics - Women's Foil; Individual,Women's Foil individual,1968 Summer Olympics
Badminton at the 2004 Summer Olympics - Mixed doubles,,2004 Summer Olympics
Diving at the 1924 Summer Olympics - Women's 10 metre platform,Women's 10 metre platform,1924 Summer Olympics
Gymnastics at the 1904 Summer Olympics - Men's pommel horse,Men's Pommel horse,1904 Summer Olympics
Swimming at the 1904 Summer Olympics - Men's 100 yard backstroke,Men's 100yds Backstroke,1904 Summer Olympics
Shooting at the 1984 Summer Olympics - Men's 25 metre rapid fire pistol,Men's 25m rapid fire pistol,1984 Summer Olympics
Cycling at the 1984 Summer Olympics - Men's  Individual Pursuit,Men's Track cycling; Individual Pursuit,1984 Summer Olympics
Gymnastics at the 2000 Summer Olympics – Men's pommel horse,Men's Pommel horse,2000 Summer Olympics
Weightlifting at the 1984 Summer Olympics - Men's Lightweight 60-67.5 kg,Men's Weightlifting; Lightweight 60-67.5kg,1984 Summer Olympics
Gymnastics at the 1996 Summer Olympics – Men's artistic team all-around,,
Biathlon at the 2002 Winter Olympics - Women's 15 km individual,Women's 15 km Individual,2002 Winter Olympics
Swimming at the 1984 Summer Olympics - Men's 4 x 200 metre freestyle relay,Men's 4x200m freestyle relay,1984 Summer Olympics
Equestrian at the 1912 Summer Olympics - Jumping; Individual,Jumping; individual,1912 Summer Olympics
Shooting at the 1912 Summer Olympics - Men's 50 metre rifle; prone,Men's 50m rifle prone,1912 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's standing high jump,Standing High Jump,1912 Summer Olympics
Tennis at the 1904 Summer Olympics - Men's Doubles,,1904 Summer Olympics
Cycling at the 1988 Summer Olympics - Men's points race,Men's Track cycling; Points Race,1988 Summer Olympics
Diving at the 1972 Summer Olympics - Men's 3 metre springboard,Men's 3 metre springboard,1972 Summer Olympics
Swimming at the 1984 Summer Olympics - Women's 4 x 100 metre medley relay,,1984 Summer Olympics
Canoeing at the 1964 Summer Olympics - Women's K-1 500 metres,Women's K-1 500m (kayak single),1964 Summer Olympics
Athletics at the 1992 Summer Olympics - Men's 4 x 400 metres relay,,1992 Summer Olympics
Triathlon at the 2000 Summer Olympics - Women's Triathlon,Women's Individual Triathlon,2000 Summer Olympics
Boxing at the 2000 Summer Olympics Bantamweight,Men's Boxing; Bantamweight 51 - 54kg,2000 Summer Olympics
Equestrian at the 2004 Summer Olympics - Jumping; Individual,Jumping; individual,2004 Summer Olympics
Weightlifting at the 1988 Summer Olympics - Men's First Heavyweight 90-100 kg,Men's Weightlifting; First Heavyweight 90-100kg,1988 Summer Olympics
Equestrian at the 2012 Summer Olympics - Individual jumping,Individual Jumping,2012 Summer Olympics
Canoeing at the 2012 Summer Olympics – Men's K-2 1000 metres,Men's K-2 1000m (kayak double),2012 Summer Olympics
Equestrian at the 2012 Summer Olympics - Team dressage,Team Dressage,2012 Summer Olympics
Fencing at the 1924 Summer Olympics – Men's team sabre,,
Rowing at the 1972 Summer Olympics - Men's Single Sculls,Men's Single sculls,1972 Summer Olympics
Wrestling at the 1928 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight +87,1928 Summer Olympics
Boxing at the 1948 Summer Olympics - Heavyweight,Men's boxing; heavyweight +80,1948 Summer Olympics
Shooting at the 1964 summer Olympics - Trap,Olympic trap,1964 Summer Olympics
Speed Skating at the 1994 Winter Olympics - Men's 10000m,Men's 10000m,1994 Winter Olympics
Alpine Skiing at the 1994 Winter Olympics - Men's Giant Slalom,Alpine skiing - Men's giant slalom,1994 Winter Olympics
Gymnastics at the 1972 Summer Olympics – Men's pommel horse,Men's Pommel horse,1972 Summer Olympics
Shooting at the 1980 Summer Olympics - Men's  50 metre running target,50 metre running target,1980 Summer Olympics
Boxing at the 1972 Summer Olympics - Welterweight,Men's Boxing; Welterweight 63.5-67kg,1972 Summer Olympics
Cross-Country Skiing at the 1992 Winter Olympics - Men's 30km,Men's Cross-country; 30km,1992 Winter Olympics
Wrestling at the 1956 Summer Olympics - Men's Freestyle Featherweight,Men's Freestyle Wrestling; Featherweight 57-62kg,1956 Summer Olympics
Wrestling  at the 1936 Summer Olympics - Men's Freestyle Bantamweight,Men's Freestyle Wrestling; Bantamweight -56kg,1936 Summer Olympics
Boxing at the 1956 Summer Olympics - Light Heavyweight,Men's Boxing; Light Heavyweight 75 - 81kg,1956 Summer Olympics
Judo at the 1976 Summer Olympics - Men's Half-Heavyweight (93kg),Men's Judo; 93kg (Half Heavyweight),1976 Summer Olympics
Swimming at the 1952 Summer Olympics - 400 metre Freestyle Women,Women's 400m freestyle,1952 Summer Olympics
Athletics at the 1952 Summer Olympics - Men's Long Jump,Men's Long jump,1952 Summer Olympics
Fencing at the 1956 Summer Olympics – Men's team épée,,
Swimming at the 1896 Summer Olympics - Men's 500 metre freestyle,500m Freestyle Men,1896 Summer Olympics
Sailing at the 1948 Summer Olympics - Swallow,,
Water polo,,
Athletics at the 1972 Summer Olympics - Men's 50 km Walk,Men's 50km walk,1972 Summer Olympics
Judo at the 1972 Summer Olympics - Open Category,Judo; Open Category,1972 Summer Olympics
Speed Skating at the 1984 Winter Olympics - Women's 1000m,Women's 1000m,1984 Winter Olympics
Alpine Skiing at the 1988 Winter Olympics - Men's Downhill,Men's Downhill,1988 Winter Olympics
Alpine Skiing at the 1998 Winter Olympics -Women's Giant Slalom,Women's Giant Slalom,1998 Winter Olympics
Alpine Skiing at the 1998 Winter Olympics - Men's Combined,Men's Combined,1998 Winter Olympics
Boxing at the 2000 Summer Olympics - Light Heavyweight,Men's Boxing; Light Heavyweight 75 - 81kg,2000 Summer Olympics
Cross Country Skiing at the 1964 Winter Olympics - Women's 5km,Women's 5km,1964 Winter Olympics
Weightlifting at the 1972 Summer Olympics -Men's Middleweight 67.5-75 kg,Men's Weightlifting; Middleweight 67.5-75kg,1972 Summer Olympics
Wrestling at the 1964 summer Olympics - Men's Greco-Roman Flyweight,Men's Greco Roman Wrestling - 52 kg,1964 Summer Olympics
Swimming at the 1936 Summer Olympics - Men's 400 metre freestyle,Men's 400m freestyle,1936 Summer Olympics
Sailing at the 1996 Summer Olympics - Men's Sailboard,Men's Sailboard,1996 Summer Olympics
Canoeing at the 2008 Summer Olympics - Men's K-2 500 metres,Men's K-2 500m (kayak double),2008 Summer Olympics
Archery at the 1996 Summer Olympics - Men's individual,Men's Archery; individual,1996 Summer Olympics
Weightlifting at the 2008 Summer Olympics - Men's Heavyweight 94 - 105 kg,Men's Weightlifting; Heavyweight 94 - 105 kg,2008 Summer Olympics
Canoeing at the 1976 Summer Olympics - Men's C-1 500 metres,Men's C-1 500m (canoe single),1976 Summer Olympics
Athletics at the 1924 Summer Olympics – Men's 1500 metres,Men's Athletics; 1500m,1924 Summer Olympics
Archery at the 1992 Summer Olympics - Women's team,,1992 Summer Olympics
Triathlon at the 2008 Summer Olympics – Men's,,
Rowing at the 1920 Summer Olympics - Men's coxed fours,,1920 Summer Olympics
Sailing at the 1992 Summer Olympics - Women's Sailboard,Women's Sailboard,1992 Summer Olympics
Boxing at the 2008 Summer Olympics - Heavyweight,Men's Boxing; Heavyweight 81 - 91kg,2008 Summer Olympics
Rowing at the 2004 Summer Olympics - Women's Quadruple Sculls,,2004 Summer Olympics
Gymnastics at the 1924 Summer Olympics – Men's artistic individual all-around,Men's Gymnastics; individual all-round,1924 Summer Olympics
Volleyball at the 1992 Summer Olympics - Women's volleyball,Women's Volleyball,1992 Summer Olympics
Athletics at the 1956 Summer Olympics - Women's 80m Hurdles,Women's Athletics; 80m Hurdles,1956 Summer Olympics
Swimming at the 2000 Summer Olympics - Women's 100 metre backstroke,Women's 100m backstroke,2000 Summer Olympics
Swimming at the 1984 Summer Olympics - Women's 200 metre freestyle,Women's 200m freestyle,1984 Summer Olympics
Diving at the 1988 Summer Olympics - Men's 3 metre springboard,Men's 3 metre springboard,1988 Summer Olympics
Roller hockey at the 1992 Summer Olympics,,
Shooting at the 1912 Summer Olympics - Men's 600 metre free rifle,Men's 600m free rifle,1912 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's high jump,Men's High jump,1912 Summer Olympics
Cycling at the 1996 Summer Olympics - Men's points race,Men's Track cycling; Points Race,1996 Summer Olympics
Canoeing at the 2004 Summer Olympics - Women's K-4 500 metres,,2004 Summer Olympics
Wrestling at the 1912 Summer Olympics - Men's Greco-Roman featherweight,Men's Greco-Roman Featherweight,1912 Summer Olympics
Diving at the 1960 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,1960 Summer Olympics
Diving at the 1984 Summer Olympics - Men's 10 metre platform,Men's 10 metre platform,1984 Summer Olympics
Weightlifting at the 1992 Summer Olympics - Men's Bantamweight 52-56 kg,Men's Weightlifting; Bantamweight 52-56kg,1992 Summer Olympics
Shooting at the 1952 Summer Olympics - Trap,Olympic trap,1952 Summer Olympics
Athletics at the 1972 Summer Olympics - Men's 3000 metre Steeplechase,Men's 3000m steeplechase,1972 Summer Olympics
Swimming at the 1948 Summer Olympics - Women's 4 x 100 metre freestyle relay,,
Cross-Country Skiing at the 1956 Winter Olympics - Men's 15km,Men's Cross-Country; 15 km,1956 Winter Olympics
Speed Skating at the 1968 Winter Olympics - Men's 5000m,Speed skating - Men's 5000m,1968 Winter Olympics
Wrestling at the 1948 Summer Olympics - Men's Freestyle Lightweight,Men's Freestyle Wrestling; Lightweight 62-67kg,1948 Summer Olympics
Synchronized Swimming at the 1992 Summer Olympics - Women's Solo,Women's Synchronized Swimming Solo,1992 Summer Olympics
Alpine Skiing at the 1984 Winter Olympics - Women's Slalom,Women's Slalom,1984 Winter Olympics
Sailing at the 1964 Summer Olympics - Finn,Finn Class,1964 Summer Olympics
Fencing at the 1956 Summer Olympics - Men's Épée; Individual,Men's Épée individual,1956 Summer Olympics
Wrestling at the 1948 Summer Olympics - Men's Greco-Roman flyweight,Men's Greco Roman Wrestling - 52 kg,1948 Summer Olympics
Wrestling at the 1936 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight +87,1936 Summer Olympics
Cycling at the 1928 Summer Olympics - Men's 1000m Time Trial,Track Cycling; Men's 1000m Time Trial,1928 Summer Olympics
Judo at the 1980 Summer Olympics - Men's Half Middleweight (78kg),Men's Judo; 73 - 81kg (half-middleweight),1980 Summer Olympics
Gymnastics at the 1948 Summer Olympics - Men's Rings,Men's Rings,1948 Summer Olympics
Athletics at the 1952 Summer Olympics - Women's Shot Put,Women's Shot put,1952 Summer Olympics
Figure Skating at the 1948 Winter Olympics - Men's Singles,Figure skating - Men's singles,1948 Winter Olympics
Judo at the 1980 Summer Olympics - Open Category,Judo; Open Category,1980 Summer Olympics
Sailing at the 1932 Summer Olympics - Olympic Monotype,Olympic Monotype,1932 Summer Olympics
Jeu De Paume at the 1908 Summer Olympics - Jeu de Paume,Jeu de Paume,1908 Summer Olympics
Athletics at the 1960 Summer Olympics - Men's 50km Walk,Men's 50km walk,1960 Summer Olympics
Weightlifting at the 1936 Summer Olympics - Men's Heavyweight  +82.5 kg,Men's Weightlifting; Heavyweight +82.5,1936 Summer Olympics
Swimming at the 1952 Summer Olympics - Men's 100 metre backstroke,Men's 100m backstroke,1952 Summer Olympics
Swimming at the 1992 Summer Olympics - Women's 200 metre backstroke,Women's 200m backstroke,1992 Summer Olympics
Athletics at the 1948 Summer Olympics – Men's marathon,Men's Marathon,1948 Summer Olympics
Wrestling at the 1908 Summer Olympics - Men's freestyle featherweight,Men's Freestyle Wrestling; Featherweight 54-60.3 kg,1908 Summer Olympics
Shooting at the 2012 Summer Olympics - Women's 50 metre rifle; three positions,Women's 50m rifle 3 positions,2012 Summer Olympics
Rowing at the 2004 Summer Olympics - Women's Single Sculls,Women's Single Sculls,2004 Summer Olympics
Shooting at the 1924 Summer Olympics - Men's 100 metre team running deer; single shots,Men's 100 metre team running deer; single shots,1924 Summer Olympics
Bobsleigh at the 1936 Winter Olympics - Two-man,,1936 Winter Olympics
Wrestling at the 1988 Summer Olympics - Men's Freestyle Lightweight,Men's Freestyle; Lightweight 62-68kg,1988 Summer Olympics
Athletics at the 2004 Summer Olympics - Men's 10;000 metres,Men's Athletics; 10000m,2004 Summer Olympics
Boxing at the 1924 Summer Olympics - Men's light heavyweight,Men's Boxing; Light Heavyweight 72.6-79.4kg,1924 Summer Olympics
Shooting at the 1920 Summer Olympics - Men's team clay pigeons,,1920 Summer Olympics
Athletics at the 2004 Summer Olympics - Men's 4 x 400 metres relay,,2004 Summer Olympics
Weightlifting at the 2008 Summer Olympics - Men's Lightweight 62-69 kg,Men's Weightlifting; Lightweight 62-69 kg,2008 Summer Olympics
Athletics at the 2008 Summer Olympics - Men's long jump,Men's Long jump,2008 Summer Olympics
Athletics at the 1972 Summer Olympics - Men's 4 x 400 metres relay,Men's 4x400 metres relay,
Luge at the 2002 Winter Olympics – Doubles,Doubles,2002 Winter Olympics
Figure skating at the 2010 Winter Olympics – Ice dancing,Ice dancing,2010 Winter Olympics
Gymnastics at the 1960 Summer Olympics – Men's horizontal bar,Men's Horizontal bar,1960 Summer Olympics
Swimming at the 1968 Summer Olympics - Women's 400 metre individual medley,Women's 400m individual medley,1968 Summer Olympics
Figure skating at the 2010 Winter Olympics – Pair skating,Pair skating,2010 Winter Olympics
Athletics at the 1964 Summer Olympics - Men's 400 metre hurdles,Men's Athletics; 400m hurdles,1964 Summer Olympics
Swimming at the 1992 Summer Olympics - Women's 200 metre breaststroke,Women's 200m breaststroke,1992 Summer Olympics
Swimming at the 1992 Summer Olympics - Women's 4 x 100 metre freestyle relay,,1992 Summer Olympics
Athletics at the 2000 Summer Olympics - Men's 20 km walk,Men's 20km walk,2000 Summer Olympics
Volleyball at the 1984 Summer Olympics - Women's volleyball,,
Swimming at the 1988 Summer Olympics - Women's 800 metre freestyle,Women's 800m freestyle,1988 Summer Olympics
Swimming at the 1988 Summer Olympics - Women's 400 metre freestyle,Women's 400m freestyle,1988 Summer Olympics
Gymnastics at the 1932 Summer Olympics - Men's Vault,Men's Vault,1932 Summer Olympics
Alpine skiing at the 1948 Winter Olympics - Women's combined,Women's Combined,1948 Winter Olympics
Cycling at the 2004 Summer Olympics - Team Sprint Men,,2004 Summer Olympics
Wrestling at the 1980 Summer Olympics - Men's Greco-Roman 57 kg,,1980 Summer Olympics
Figure skating at the 1928 Winter Olympics - Men's singles,Figure skating - Men's singles,1928 Winter Olympics
Athletics at the 1924 Summer Olympics – Men's 10000 metres,Men's Athletics; 10000m,1924 Summer Olympics
Canoeing at the 1988 Summer Olympics - Women's K-4 500 metres,,
Swimming at the 1924 Summer Olympics - Women's 100 metre backstroke,Women's 100m backstroke,1924 Summer Olympics
Shooting at the 1992 Summer Olympics - Men's 25 metre rapid fire pistol,Men's 25m rapid fire pistol,1992 Summer Olympics
Canoeing at the 1980 Summer Olympics - Women's K-1 500 metres,Women's K-1 500m (kayak single),1980 Summer Olympics
Athletics at the 1980 Summer Olympics - Women's pentathlon,Women's Athletics; Pentathlon,1980 Summer Olympics
Cycling at the 2000 Summer Olympics - Men's cross-country,Men's Mountain Biking; Cross-Country,2000 Summer Olympics
Cycling at the 1912 Summer Olympics - Men's team road race,,
Swimming at the 2000 Summer Olympics - Women's 4x200 metre freestyle relay,,2000 Summer Olympics
Cycling at the 1904 Summer Olympics - 1 mile,Men's Track Cycling; 1 Mile,1904 Summer Olympics
Croquet at the 1900 Summer Olympics - Singles; one ball,Croquet; Singles (1 Ball),1900 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Women's 53 kg,Women's Weightlifting; 53kg,2004 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Women's 69 kg,Women's Weightlifting; 69kg,2004 Summer Olympics
Cycling at the 1920 Summer Olympics - Men's tandem,,1920 Summer Olympics
Rowing at the 1912 Summer Olympics - Men's coxed fours; inriggers,,1912 Summer Olympics
Diving at the 2004 Summer Olympics - Men's synchronized 3 metre springboard,Men's synchronized 3 metre springboard,2004 Summer Olympics
Tennis at the 2000 Summer Olympics - Men's Doubles,,2000 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Men's Lightweight 62-69 kg,Men's Weightlifting; Lightweight 62-69 kg,2004 Summer Olympics
Weightlifting at the 1904 Summer Olympics - Men's all-around dumbbell,Men's All Around Dumbbell,1904 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Lightweight,Men's Greco-Roman Wrestling; Lightweight 62-68 kg,1988 Summer Olympics
Shooting at the 1992 Summer Olympics - Women's 10 metre air rifle,Women's 10m air rifle,1992 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's freestyle Middleweight,Men's freestyle wrestling; Middleweight 74-82 kg,1988 Summer Olympics
Taekwondo at the 2000 Summer Olympics - Women's 49 kg,Women's Taekwondo; Flyweight - 49 kg,2000 Summer Olympics
Wrestling at the 1980 Summer Olympics - Men's freestyle Light Flyweight,Men's Freestyle Wrestling; 48kg,1980 Summer Olympics
Swimming at the 2004 Summer Olympics - Women's 200 metre freestyle,Women's 200m freestyle,2004 Summer Olympics
Canoeing at the 1976 Summer Olympics - Men's K-4 1000 metres,,
Synchronized swimming at the 2008 Summer Olympics - Duet,Women's Sychronized swimming; duet,2008 Summer Olympics
Athletics at the 2004 Summer Olympics - Men's High Jump,Men's High jump,2004 Summer Olympics
Athletics at the 2000 Summer Olympics - Men's javelin throw,Men's Javelin throw,2000 Summer Olympics
Athletics at the 2008 Summer Olympics - Women's 4x400 metre relay,Women's Athletics; 4x400m relay,2008 Summer Olympics
Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Bantamweight,Men's Greco-Roman Wrestling; Bantamweight 52-57kg,1996 Summer Olympics
Sailing at the 2008 Summer Olympics - Yngling class,Women's Yngling - Keelboat,2008 Summer Olympics
Canoeing at the 1952 Summer Olympics - Men's C-2 1000 metres,,
Speed Skating at the 1928 Winter Olympics - Men's 500m,Men's 500m,1928 Winter Olympics
Shooting at the 2000 Summer Olympics - Men's 10 metre running target,10 metre running target,2000 Summer Olympics
Speed skating at the 2010 Winter Olympics – Women's 1500 metres,Women's 1500m,2010 Winter Olympics
Shooting at the 2004 Summer Olympics - Men's Trap,Men's Trap,2004 Summer Olympics
Swimming at the 1972 Summer Olympics - Women's 200 metre backstroke,Women's 200m backstroke,1972 Summer Olympics
Athletics at the 2000 Summer Olympics Triple Jump Women,Women's Triple jump,2000 Summer Olympics
Gymnastics at the 1936 Summer Olympics - Men's pommel horse,Men's Pommel horse,1936 Summer Olympics
Gymnastics at the 1996 Summer Olympics – Women's artistic individual all-around,Women's Gymnastics; individual all-round,1996 Summer Olympics
Weightlifting at the 1964 summer Olympics - Men's Middle Heavyweight  82.5-90 kg,Men's Weightlifting; Middle Heavyweight 82.5-90 kg,1964 Summer Olympics
Boxing at the 1968 Summer Olympics - Flyweight,Men's Boxing; 48 - 51kg (flyweight),1968 Summer Olympics
Wrestling at the 1936 Summer Olympics - Men's Freestyle Light Heavyweight,Men's Freestyle Wrestling; Light Heavyweight 79-87kg,1936 Summer Olympics
Diving at the 1968 Summer Olympics - Men's 3 metre springboard,Men's 3 metre springboard,1968 Summer Olympics
Athletics at the 1992 Summer Olympics - Women's 100 metres,Women's Athletics; 100m,1992 Summer Olympics
Swimming at the 1996 Summer Olympics - Men's 4 x 100 metre medley relay,,1996 Summer Olympics
Shooting at the 1912 Summer Olympics - Men's team clay pigeons,,1912 Summer Olympics
Athletics at the 1928 Summer Olympics - Men's Marathon,Men's Marathon,1928 Summer Olympics
Tennis at the 1996 Summer Olympics - Women's Doubles,,1996 Summer Olympics
Diving at the 1968 Summer Olympics - Women's 3 metre springboard,Women's 3 metre springboard,1968 Summer Olympics
Wrestling at the 1908 Summer Olympics - Men's freestyle heavyweight,Men's Freestyle Wrestling; heavyweight +73,1908 Summer Olympics
Fencing at the 1896 Summer Olympics - Men's masters foil,Masters Foil,1896 Summer Olympics
Sailing at the 1968 Summer Olympics - 5.5 Metre,,
Boxing at the 1996 Summer Olympics – Light flyweight,Men's Boxing; - Light Flyweight -48kg,1996 Summer Olympics
Cycling at the 1896 Summer Olympics - Men's time trial,,1896 Summer Olympics
Swimming at the 1976 Summer Olympics - Women's 4 x 100 metre freestyle relay,Women's 4x100m freestyle relay,1976 Summer Olympics
Sailing at the 1900 Summer Olympics - 1 to 2 ton,,1900 Summer Olympics
Sailing at the 1920 Summer Olympics – 6.5 Metre,,
Athletics at the 1952 Summer Olympics – Men's 400 metres,Men's Athletics; 400m,1952 Summer Olympics
Gymnastics at the 2004 Summer Olympics - Women's Floor,Women's Floor exercises,2004 Summer Olympics
Athletics at the 1996 Summer Olympics - Men's decathlon,Men's Decathlon,1996 Summer Olympics
Cycling at the 1984 Summer Olympics - Women's individual road race,Women's Road cycling; individual road race,1984 Summer Olympics
Archery at the 1920 Summer Olympics - Individual fixed large bird,Individual Fixed Large Bird,1920 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's marathon,Men's Marathon,1920 Summer Olympics
Judo at the 2004 Summer Olympics - Women's 70 kg,Women's Judo; 63-70kg (Middleweight),2004 Summer Olympics
Rowing at the 1964 Summer Olympics - Coxless pair,,1964 Summer Olympics
Modern pentathlon at the 1952 Summer Olympics,,
Athletics at the 1976 Summer Olympics - Men's 5000 metres,Men's Athletics; 5000m,1976 Summer Olympics
Athletics at the 1988 Summer Olympics - Men's High Jump,Men's High jump,1988 Summer Olympics
Athletics at the 2000 Summer Olympics - Men's decathlon,Men's Decathlon,2000 Summer Olympics
Athletics at the 1920 Summer Olympics - Men's 400 metre hurdles,Men's Athletics; 400m hurdles,1920 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's 4x400 metre relay,,1912 Summer Olympics
Athletics at the 1968 Summer Olympics - Men's Marathon,Men's Marathon,1968 Summer Olympics
Weightlifting at the 2004 Summer Olympics - Men's Middleweight 69-77 kg,Men's Weightlifting; Middleweight 69-77 kg,2004 Summer Olympics
Athletics at the 1980 Summer Olympics - Women's Long Jump,Women's Long jump,1980 Summer Olympics
Swimming at the 1988 Summer Olympics - Men's 1500 metre freestyle,Men's 1500m freestyle,1988 Summer Olympics
Gymnastics at the 1932 Summer Olympics - Men's tumbling,Men's  Tumbling,1932 Summer Olympics
Boxing at the 2004 Summer Olympics - Middleweight,Men's Boxing; Middleweight 69 - 75 kg,2004 Summer Olympics
Rowing at the 1908 Summer Olympics - Men's coxless fours,,1908 Summer Olympics
Athletics at the 1936 Summer Olympics – Women's javelin throw,Women's Javelin throw,1936 Summer Olympics
Athletics at the 1932 Summer Olympics - Men's hammer throw,Men's Hammer throw,1932 Summer Olympics
Athletics at the 1928 Summer Olympics – Men's 3000 metre steeplechase,Men's 3000m steeplechase,1928 Summer Olympics
Sailing at the 1900 Summer Olympics - 0 to .5 ton,,1900 Summer Olympics
Cross-country skiing at the 1956 Winter Olympics – Ladies' 3x5 kilometre relay,,
Boxing at the 2004 Summer Olympics - Lightweight,Men's Boxing; Lightweight 57 - 60kg,2004 Summer Olympics
Fencing at the 1948 Summer Olympics – Men's team épée,,
Gymnastics at the 1960 Summer Olympics – Men's artistic team all-around,,1960 Summer Olympics
Wrestling at the 1936 Summer Olympics - Men's Greco-Roman Light Heavyweight,Men's Greco-Roman Wrestling; Light Heavyweight 79-87kg,1936 Summer Olympics
Alpine Skiing at the 1992 Winter Olympics - Women's Slalom,Women's Slalom,1992 Winter Olympics
Cycling at the 2000 Summer Olympics - Men's Sprint,Men's Track cycling; Sprint individual,2000 Summer Olympics
Judo at the 1992 Summer Olympics - Women's Heavyweight,Women's Judo; +72 (heavyweight),1992 Summer Olympics
Shooting at the 1968 Summer Olympics - Men's Skeet,Olympic skeet,1968 Summer Olympics
Cycling at the 1980 Summer Olympics - Men's 1000m Time Trial,Track Cycling; Men's 1000m Time Trial,1980 Summer Olympics
Ski Jumping at the 1964 Winter Olympics - Normal Hill,Men's Individual Normal Hill,1964 Winter Olympics
Athletics at the 1968 Summer Olympics - Women's Discus Throw,Women's Discus throw,1968 Summer Olympics
Cross Country Skiing at the 1992 Winter Olympics - Women's 30 km freestyle,Women's 30km Cross-country Freestyle,1992 Winter Olympics
Athletics at the 1976 Summer Olympics - Women's 100 metres hurdles,Women's Athletics; 100m hurdles,1976 Summer Olympics
Weightlifting at the 1976 Summer Olympics - Men's Lightweight 60-67.5 kg,Men's Weightlifting; Lightweight 60-67.5kg,1976 Summer Olympics
Cycling at the 2000 Summer Olympics - Women's Sprint,Women's Track cycling; sprint,2000 Summer Olympics
Weightlifting at the 1948 Summer Olympics - Men's Heavyweight  +82.5 kg,Men's Weightlifting; Heavyweight +82.5,1948 Summer Olympics
Snowboarding at the 2006 Winter Olympics – Men's snowboard cross,Men's Snowboarding Cross,2006 Winter Olympics
Basketball at the 1976 Summer Olympics – Women,,
Boxing at the 1948 Summer Olympics - Flyweight,Men's Boxing; Flyweight - 51,1948 Summer Olympics
Wrestling at the 1972 Summer Olympics - Men's Freestyle Heavyweight,Men's Freestyle Wrestling; Heavyweight 90-100kg,1972 Summer Olympics
Athletics at the 1924 Summer Olympics – Men's 200 metres,Men's Athletics; 200m,1924 Summer Olympics
Swimming at the 1932 Summer Olympics - Men's 1500 metre freestyle,Men's 1500m freestyle,1932 Summer Olympics
Cycling at the 1948 Summer Olympics - Men's 1000m Time Trial,Track Cycling; Men's 1000m Time Trial,1948 Summer Olympics
Athletics at the 2000 Summer Olympics - Men's 50 km walk,Men's 50km walk,2000 Summer Olympics
Water motorsports at the 1908 Summer Olympics – Class A,,
Swimming at the 1936 Summer Olympics - Men's 200 metre breaststroke,Men's 200m breaststroke,1936 Summer Olympics
Wrestling at the 1968 Summer Olympics - Men's freestyle flyweight,Men's Freestyle Wrestling;  Flyweight -52kg,1968 Summer Olympics
Athletics at the 1980 Summer Olympics - Men's 400 metre hurdles,Men's Athletics; 400m hurdles,1980 Summer Olympics
Athletics at the 1936 Summer Olympics – Men's long jump,Men's Long jump,1936 Summer Olympics
Athletics at the 1928 Summer Olympics - Women's 4x100 metre relay,,
Alpine skiing at the 2002 Winter Olympics – Women's slalom,Women's Slalom,2002 Winter Olympics
Athletics at the 2012 Summer Olympics – Men's 20 kilometres walk,Men's 20km walk,2012 Summer Olympics
Gymnastics at the 2012 Summer Olympics – Men's parallel bars,Men's Parallel bars,2012 Summer Olympics
Judo at the 2012 Summer Olympics – Women's 63 kg,Women's Judo; 57 - 63kg (Half-Middleweight),2012 Summer Olympics
Swimming at the 2012 Summer Olympics – Men's 1500 metre freestyle,Men's 1500m freestyle,2012 Summer Olympics
Wrestling at the 2012 Summer Olympics – Men's freestyle 96 kg,Men's Freestyle Wrestling; Heavyweight 84-96kg,2012 Summer Olympics
Gymnastics at the 1964 Summer Olympics - Men's Floor Exercises,Men's Floor exercises,1964 Summer Olympics
Equestrian at the 1900 Summer Olympics - Long jump,Equestrian; Long Jump,1900 Summer Olympics
Modern pentathlon at the 1964 Summer Olympics - Team,,1964 Summer Olympics
