country;event;medal;medalist;olympics
Australia;Swimming;2012 Summer Olympics;Women's 4 x 100 metre freestyle relay;Gold medal;Cate Campbell;Yolane Kukla;Alicia Coutts;Melanie Schlanger;Libby Lenton;Brittany Elmslie;Emily Seebohm;2012 Summer Olympics
Trinidad and Tobago;Athletics;2012 Summer Olympics;Men's 4 x 400 metres relay;Bronze medal;Jarrin Solomon;Ade Alleyne-Forte;Deon Lendore;Lalonde Gordon;2012 Summer Olympics
China;Swimming;2012 Summer Olympics;Men's 4 x 200 metre freestyle relay;Bronze medal;Dai Jun;Li Yunqi;Hao Yun;Sun Yang;Lu Zhiwu;Jiang Haiqi;2012 Summer Olympics
France;Gymnastics;2008 Summer Olympics;Men's Vault;Silver medal;Thomas Bouhail;2008 Summer Olympics
Lithuania;Wrestling;2008 Summer Olympics;Men's Greco-Roman Super Heavyweight;Bronze medal;Mindaugas Mizgaitis;2008 Summer Olympics
Australia;Swimming;2008 Summer Olympics;Men's 4 x 200 metre freestyle relay;Bronze medal;Nick Ffrost;Leith Brodie;Grant Hackett;Grant Brits;Kirk Palmer;Patrick Murphy;2008 Summer Olympics
Armenia;Weightlifting;2008 Summer Olympics;Men's Light Heavyweight 77-85 kg;Bronze medal;Tigran Martirosyan;2008 Summer Olympics
Cuba;Athletics;2008 Summer Olympics;Women's DiscusThrow;Silver medal;Yarelis Barrios;2008 Summer Olympics
Canada;Canoeing;2008 Summer Olympics;Men's K-1 500 metres;Silver medal;Adam van Koeverden;2008 Summer Olympics
Switzerland;Snowboarding;1998 Winter Olympics;Men's Halfpipe;Gold medal;Gian Simmen;1998 Winter Olympics
Ukraine;Cycling;2008 Summer Olympics;Women's individual pursuit;Bronze medal;Lesya Kalitovska;2008 Summer Olympics
German Democratic Republic;Swimming;1988 Summer Olympics;Men's 4 x 100 metre Freestyle;Bronze medal;Lars Hinneburg;Steffen Zesner;Thomas Flemming;Dirk Richter;1988 Summer Olympics
United Kingdom;Rowing;1988 Summer Olympics;Men's coxed pairs;Bronze medal;Patrick Sweeney;Andy Holmes;Steve Redgrave;1988 Summer Olympics
Soviet Union;Gymnastics;1972 Summer Olympics;Women's floor;Bronze medal;Tamara Lazakovich;1972 Summer Olympics
France;Cycling;1932 Summer Olympics;Men's sprint;Silver medal;Louis Chaillot;1932 Summer Olympics
Bulgaria;Weightlifting;1976 Summer Olympics;Men's Bantamweight 52-56 kg;Gold medal;Norair Nurikian;1976 Summer Olympics
Austria;Alpine Skiing;1992 Winter Olympics;Women's Combined;Silver medal;Anita Wachter;1992 Winter Olympics
Kazakhstan;Wrestling;2008 Summer Olympics;Women's Freestyle Middleweight;Bronze medal;Yelena Shalygina;2008 Summer Olympics
Iran;Weightlifting;1968 Summer Olympics;Men's Bantamweight -56 kg;Gold medal;Mohammad Nassiri;1968 Summer Olympics
Russia;Boxing;2008 Summer Olympics;Heavyweight;Gold medal;Rakhim Chakhkeiv;2008 Summer Olympics
Norway;Speed Skating;1972 Winter Olympics;Men's 5000m;Silver medal;Roar Grønvold;1972 Winter Olympics
New Zealand;Shooting;1968 Summer Olympics;Men's 50 metre rifle; prone;Bronze medal;Ian Ballinger;1968 Summer Olympics
United States of America;Athletics;1996 Summer Olympics;Men's long jump;Gold medal;Carl Lewis;1996 Summer Olympics
United States of America;Speed skating;2006 Winter Olympics;Men's 500m;Gold medal;Joey Cheek;2006 Winter Olympics
Argentina;Judo;2008 Summer Olympics;Women's 48 kg;Bronze medal;Paula Pareto;2008 Summer Olympics
Slovenia;Alpine Skiing;1994 Winter Olympics;Men's Slalom;Bronze medal;Jure Košir;1994 Winter Olympics
Japan;Judo;1992 Summer Olympics;Men's Half Middleweight (78kg);Gold medal;Hidehiko Yoshida;1992 Summer Olympics
Soviet Union;Weightlifting;1976 Summer Olympics;Men's Flyweight -52 kg;Gold medal;Aleksandr Voronin;1976 Summer Olympics
Soviet Union;Athletics;1976 Summer Olympics;Women's 100 metres hurdles;Bronze medal;Natalya Lebedyeva;1976 Summer Olympics
German Democratic Republic;Weightlifting;1976 Summer Olympics;Men's Middleweight 67.5-75 kg;Bronze medal;Peter Wenzel;1976 Summer Olympics
Russia;Cross-Country Skiing;2002 Winter Olympic;Women's 15km freestyle mass start;Bronze medal;Julija Tchepalova;2002 Winter Olympics
Belarus;Athletics;1996 Summer Olympics;Men's discus throw;Silver medal;Vladimir Dubrovshchik;1996 Summer Olympics
Croatia;Alpine skiing;2002 Winter Olympics;Women's giant slalom;Gold medal;Janica Kosteli?;2002 Winter Olympics
Uzbekistan;Judo;1996 Summer Olympics;Men's Middleweight (86kg);Silver medal;Armen Bagdasarov;1996 Summer Olympics
Hungary;Swimming;1996 Summer Olympics;Women's 400 metre Individual Medley;Bronze medal;Krisztina Egerszegi;1996 Summer Olympics
Austria;Ski Jumping;1960 Winter Olympics;Large Hill;Bronze medal;Otto Leodolter;1960 Winter Olympics
France;Alpine Skiing;1992 Winter Olympics;Women's Super-G;Silver medal;Carole Merle;1992 Winter Olympics
Soviet Union;Gymnastics;1952 Summer Olympics;Men's Rings;Bronze medal;Dmitri Leonkin;1952 Summer Olympics
Soviet Union;Cross-Country Skiing;1988 Winter Olympics;Men's 15km;Bronze medal;Vladimir Smirnov;1988 Winter Olympics
Russia;Gymnastics;1996 Summer Olympics;Women's Uneven Bars;Gold medal;Svetlana Khorkina;1996 Summer Olympics
Romania;Rowing;1992 Summer Olympics;Women's Single Sculls;Gold medal;Elisabeta Lip?;1992 Summer Olympics
Austria;Alpine Skiing;1980 Winter Olympics;Men's Giant Slalom;Bronze medal;Hans Enn;1980 Winter Olympics
Germany;Boxing;1992 Summer Olympics;Light Heavyweight;Gold medal;Torsten May;1992 Summer Olympics
United States of America;Freestyle Skiing;1992 Winter Olympics;Women's Moguls;Gold medal;Donna Weinbrecht;1992 Winter Olympics
Sweden;Cross Country Skiing;1956 Winter Olympics;Women's 10km;Bronze medal;Sonja Edström;1956 Winter Olympics
Japan;Short Track Speed Skating;1998 Winter Olympics;Men's 500m;Bronze medal;Hitoshi Uematsu;1998 Winter Olympics
United Kingdom;Swimming;1988 Summer Olympics;Men's 200 metre breaststroke;Silver medal;Nick Gillingham;1988 Summer Olympics
United States of America;Figure Skating;1984 Winter Olympics;Men's Singles;Gold medal;Scott Hamilton;1984 Winter Olympics
Soviet Union;Boxing;1952 Summer Olympics;Light Heavyweight;Bronze medal;Anatoly Perov;1952 Summer Olympics
Italy;Cross-Country Skiing;2002 Winter Olympic;Women's 15km freestyle mass start;Gold medal;Stefania Belmondo;2002 Winter Olympics
Hungary;Wrestling;1952 Summer Olympics;Men's Greco-Roman Featherweight;Silver medal;Imre Polyák;1952 Summer Olympics
Finland;Swimming;1992 Summer Olympics;Men's 200 metre freestyle;Bronze medal;Antti Kasvio;1992 Summer Olympics
New Zealand;Athletics;1924 Summer Olympics;Men's 100 metres;Bronze medal;Arthur Porritt, Baron Porritt;1924 Summer Olympics
United States of America;Swimming;1992 Summer Olympics;Men's 50 metre freestyle;Bronze medal;Tom Jager;1992 Summer Olympics
United States of America;Alpine Skiing;1960 Winter Olympics;Women's Slalom;Silver medal;Betsy Snite;1960 Winter Olympics
Finland;Athletics;1992 Summer Olympics;Men's javelin throw;Silver medal;Seppo Räty;1992 Summer Olympics
West Germany;Wrestling;1988 Summer Olympics;Men's Greco-Roman Heavyweight;Silver medal;Gerhard Himmel;1988 Summer Olympics
Czechoslovakia;Weightlifting;1924 Summer Olympics;Men's Lightweight 60-67.5 kg;Bronze medal;Bohumil Durdis;1924 Summer Olympics
South Korea;Shooting;1988 Summer Olympics;Men's 50 metre rifle; prone;Silver medal;Young-Chul Cha;1988 Summer Olympics
United States of America;Boxing;1988 Summer Olympics;Heavyweight;Gold medal;Ray Mercer;1988 Summer Olympics
Germany;Luge;1998 Winter Olympics;Women's Singles;Silver medal;Barbara Niedernhuber;1998 Winter Olympics
United States of America;Sailing;1992 Summer Olympics;Finn Class;Silver medal;Brian Richard Ledbetter;1992 Summer Olympics
Soviet Union;Wrestling;1952 Summer Olympics;Men's Freestyle Bantamweight;Silver medal;Rashid Mamedbekov;1952 Summer Olympics
Germany;Diving;1908 Summer Olympics;Men's 3 metre springboard;Bronze medal;Gottlob Walz;1908 Summer Olympics
United States of America;Wrestling;1932 Summer Olympics;Men's Freestyle Welterweight;Gold medal;Jack van Bebber;1932 Summer Olympics
Iran;Wrestling;1996 Summer Olympics;Men's Freestyle Heavyweight;Silver medal;Abbas Jadidi;1996 Summer Olympics
Iran;Weightlifting;1976 Summer Olympics;Men's Flyweight -52 kg;Bronze medal;Mohammad Nassiri;1976 Summer Olympics
United States of America;Boxing;1988 Summer Olympics;Light Heavyweight;Gold medal;Andrew Maynard;1988 Summer Olympics
Indonesia;Badminton;1992 Summer Olympics;Men's Singles;Bronze medal;Hermawan Susanto;1992 Summer Olympics
United States of America;Alpine Skiing;1984 Winter Olympics;Men's Slalom;Gold medal;Phil Mahre;1984 Winter Olympics
Soviet Union;Athletics;1952 Summer Olympics;Men's 3000 metre Steeplechase;Silver medal;Vladimir Kazantsev;1952 Summer Olympics
Finland;Boxing;1952 Summer Olympics;Lightweight;Bronze medal;Erkki Pakkanen;1952 Summer Olympics
Italy;Snowboarding;1998 Winter Olympics;Men's Giant Slalom;Silver medal;Thomas Prugger;1998 Winter Olympics
Sweden;Shooting;1984 Summer Olympics;Men's 50 metre pistol;Silver medal;Ragnar Skanåker;1984 Summer Olympics
France;Equestrian;1952 Summer Olympics;Dressage, Individual;Bronze medal;André Jousseaume;1952 Summer Olympics
United States of America;Athletics;1976 Summer Olympics;Men's High Jump;Bronze medal;Dwight Stones;1976 Summer Olympics
Norway;Cross-Country Skiing;1968 Winter Olympics;Men's 15km;Gold medal;Harald Grønningen;1968 Winter Olympics
United States of America;Weightlifting;1952 Summer Olympics;Men's Light Heavyweight 75-82.5 kg;Silver medal;Stanley Stanczyk;1952 Summer Olympics
Poland;Wrestling;1992 Summer Olympics;Men's Greco-Roman Middleweight;Silver medal;Piotr St?pie?;1992 Summer Olympics
United States of America;Athletics;1932 Summer Olympics;Men's long jump;Gold medal;Ed Gordon;1932 Summer Olympics
Norway;Cross-country Skiing;2006 Winter Olympics;Women's 10 km classical;Bronze medal;Hilde Gjermundshaug Pedersen;2006 Winter Olympics
Sweden;Cross-Country Skiing;1960 Winter Olympics;Men's 30km;Silver medal;Rolf Rämgård;1960 Winter Olympics
France;Cycling;1912 Summer Olympics;Men's individual time trial;;Gaston Alancourt;1912 Summer Olympics
Ukraine;Boxing;2012 Summer Olympics;Men's lightweight;Gold medal;Vasyl Lomachenko;2012 Summer Olympics
Romania;Judo;2012 Summer Olympics;Women's 48 kg;Silver medal;Alina Alexandra Dumitru;2012 Summer Olympics
Croatia;Rowing;2012 Summer Olympics;Men's quadruple sculls;Silver medal;David Šain;Valent Sinkovi?;Martin Sinkovi?;Damir Martin;2012 Summer Olympics
Croatia;Shooting;2012 Summer Olympics;Men's Trap;Gold medal;Giovanni Cernogoraz;2012 Summer Olympics
Thailand;Weightlifting;2012 Summer Olympics;Women's 58 kg;Silver medal;Pimsiri Sirikaew;2012 Summer Olympics
United States of America;Swimming;2012 Summer Olympics;Women's 200 metre individual medley;Bronze medal;Caitlin Leverenz;2012 Summer Olympics
United Kingdom;Taekwondo;2012 Summer Olympics;Men's 80 kg;Bronze medal;Lutalo Muhammad;2012 Summer Olympics
Russia;Wrestling;2012 Summer Olympics;Women's freestyle 63 kg;Bronze medal;Lubov Volosova;2012 Summer Olympics
Spain;Synchronized swimming;2012 Summer Olympics;Women's duet;Silver medal;Ona Carbonell;Andrea Fuentes;2012 Summer Olympics
;Athletics;2004 Summer Olympics;Women's 1.500 metres;;Elvan Abeylegesse;2004 Summer Olympics
Germany;Volleyball;2000 Summer Olympics;Women's beach volleyball;;Danja Müsch;Maike Friedrichsen;2000 Summer Olympics
Germany;Cycling;1896 Summer Olympics;Men's 100 kilometres;;Theodor Leupold;1896 Summer Olympics
Germany;Volleyball;2004 Summer Olympics;Men's Beach Volleyball;;Jonas Reckermann;Markus Dieckmann;2004 Summer Olympics
Mexico;Volleyball;1996 Summer Olympics;Women's beach volleyball;;Velia Eguiluz;Mayra Huerta;1996 Summer Olympics
Australia;Volleyball;1996 Summer Olympics;Men's beach volleyball;;Julien Prosser;Lee Zahner;1996 Summer Olympics
Italy;Volleyball;2008 Summer Olympics;Women's volleyball;;Nadia Centoni;Paola Croce;Jenny Barazza;Simona Gioli;Francesca Ferretti;Eleonora Lo Bianco;Paola Cardullo;Manuela Secolo;Serena Ortolani;Francesca Piccinini;Martina Guiggi;Taismary Agüero;2008 Summer Olympics
Greece;Volleyball;2004 Summer Olympics;Women's Volleyball;;Maria Gkaragkouni;Eleni Kiosi;Rouxantra-Kon Ntoumitreskou;Ioanna Vlachou;Eleftheria Chatzinikou;Charikleia Sakkoula;Georgia Tzanakaki;Sofia Iordanidou;Eleni Memetzi;Niki Gkaragkouni;Zanna Proniadou;Vasiliki Papazoglou;2004 Summer Olympics
Georgia;Volleyball;2008 Summer Olympics;Women's beach volleyball;;Cristine Santanna;Andrezza Martins;2008 Summer Olympics
United Kingdom;Cycling;1912 Summer Olympics;Men's individual time trial;;Francis Guy;1912 Summer Olympics
France;Cycling;1912 Summer Olympics;Men's individual time trial;;Alexis Michiels;1912 Summer Olympics
United States of America;Swimming;1988 Summer Olympics;Men's 100 metre butterfly;Silver medal;Matt Biondi;1988 Summer Olympics
China;Diving;2008 Summer Olympics;Women's Synchronised 10m Platform;Gold medal;Wang Xin;Chen Ruolin;2008 Summer Olympics
Azerbaijan;Judo;2008 Summer Olympics;Men's Lightweight 73 kg;Gold medal;Elnur Mammadli;2008 Summer Olympics
Australia;Equestrian;2008 Summer Olympics;Team eventing;Silver medal;Lucinda Fredericks;Clayton Fredericks;Shane Rose;Megan Jones;Sonja Johnson;2008 Summer Olympics
Netherlands;Speed Skating;2006 Winter Olympics;Men's 5000m;Silver medal;Sven Kramer;2006 Winter Olympics
Sweden;Boxing;1988 Summer Olympics;Lightweight;Silver medal;George Cramne;1988 Summer Olympics
Germany;Shooting;2008 Summer Olympics;Men's 25 metre rapid fire pistol;Bronze medal;Christian Reitz;2008 Summer Olympics
Spain;Athletics;2000 Summer Olympics;Women's 20 km walk;Bronze medal;María Vasco;2000 Summer Olympics
Cuba;Boxing;2008 Summer Olympics;Flyweight;Silver medal;Andry Laffita;2008 Summer Olympics
Belgium;Judo;1996 Summer Olympics;Women's 56 kg;Bronze medal;Marisabel Lomba;1996 Summer Olympics
China;Badminton;2008 Summer Olympics;Men's singles;Bronze medal;Chen Jin;2008 Summer Olympics
United States of America;Cycling;2008 Summer Olympics;Men's Individual Time Trial;Bronze medal;Levi Leipheimer;2008 Summer Olympics
China;Gymnastics;2008 Summer Olympics;Men's rings;Gold medal;Chen Yibing;2008 Summer Olympics
Russia;Diving;2012 Summer Olympics;Men's synchronized 3 metre springboard;Silver medal;Ilya Zakharov;Evgeny Kuznetsov;2012 Summer Olympics
Canada;Curling;1998 Winter Olympics;Silver medal;Richard Hart;1998 Winter Olympics
China;Table tennis;2012 Summer Olympics;Women's singles;Gold medal;Li Xiaoxia;2012 Summer Olympics
United States of America;Swimming;2012 Summer Olympics;Women's 800 metre freestyle;Gold medal;Katie Ledecky;2012 Summer Olympics
Italy;Judo;2000 Summer Olympics;Men's Lightweight (73kg);Gold medal;Giuseppe Maddaloni;2000 Summer Olympics
Iran;Wrestling;2004 Summer Olympics;Men's Freestyle Super Heavyweight;Silver medal;Alireza Rezaei;2004 Summer Olympics
Canada;Short Track Speed Skating;1998 Winter Olympics;Women's 3000 m relay;Bronze medal;Christine Boudrias;1998 Winter Olympics
South Korea;Boxing;2004 Summer Olympics;Featherweight;Bronze medal;Seok Hwan Jo;2004 Summer Olympics
Netherlands;Cycling;1996 Summer Olympics;Men's cross-country;Gold medal;Bart Brentjens;1996 Summer Olympics
Germany;Bobsleigh;2002 winter Olympics;Four Man Bobsleigh;Gold medal;Kevin Kuske;Enrico Kühn;Carsten Embach;André Lange;2002 Winter Olympics
United States of America;Cycling;2004 Summer Olympics;Men's Individual Time Trial;Bronze medal;Bobby Julich;2004 Summer Olympics
Russia;Bobsleigh;2006 Winter Olympics;Four Man Bobsleigh;Silver medal;Philippe Egorov;2006 Winter Olympics
Japan;Judo;2004 Summer Olympics;Men's Half Lightweight (66 kg);Gold medal;Masato Uchishiba;2004 Summer Olympics
Canada;Short Track Speed Skating;1998 Winter Olympics;Women's 500m;Gold medal;Annie Perreault;1998 Winter Olympics
Lithuania;Athletics;2004 Summer Olympics;Women's heptathlon;Silver medal;Austra Skujyt?;2004 Summer Olympics
France;Swimming;2004 Summer Olympics;Women's 50 metre freestyle;Silver medal;Malia Metella;2004 Summer Olympics
Ukraine;Athletics;1996 Summer Olympics;Men's shot put;Bronze medal;Oleksandr Bagach;1996 Summer Olympics
United States of America;Athletics;2004 Summer Olympics;Men's High Jump;Silver medal;Matt Hemingway;2004 Summer Olympics
Ukraine;Swimming;2004 Summer Olympics;Men's 100 metre butterfly;Bronze medal;Andriy Serdinov;2004 Summer Olympics
Italy;Athletics;2000 Summer Olympics;Men's hammer throw;Silver medal;Nicola Vizzoni;2000 Summer Olympics
China;Gymnastics;2000 Summer Olympics;Women's Uneven Bars;Bronze medal;Yang Yun;2000 Summer Olympics
United States of America;Cycling;1984 Summer Olympics;Men's individual road race;Gold medal;Alexi Grewal;1984 Summer Olympics
Czech Republic;Shooting;2012 Summer Olympics;Women's 50 metre rifle; three positions;Bronze medal;Adéla Sýkorová;2012 Summer Olympics
China;Badminton;2012 Summer Olympics;Women's singles;Gold medal;Li Xuerui;2012 Summer Olympics
Cuba;Boxing;2012 Summer Olympics;Men's light welterweight;Gold medal;Roniel Iglesias;2012 Summer Olympics
Georgia;Wrestling;2012 Summer Olympics;Men's freestyle 84 kg;Bronze medal;Dato Marsagishvili;2012 Summer Olympics
United Kingdom;Cycling;2012 Summer Olympics;Men's Omnium;Bronze medal;Ed Clancy;2012 Summer Olympics
Jamaica;Athletics;2012 Summer Olympics;Men's 100 metres;Gold medal;Usain Bolt;2012 Summer Olympics
United Kingdom;Swimming;2012 Summer Olympics;Women's 400 metre individual medley;;Hannah Miley;2012 Summer Olympics
;Athletics;2004 Summer Olympics;Women's 1.500 metres;;Hind Dehiba;2004 Summer Olympics
;Football;2008 Summer Olympics;Women's tournament;;Karolina Westberg;2008 Summer Olympics
Netherlands;Volleyball;1996 Summer Olympics;Men's beach volleyball;;Sander Mulder;Michel Everaert;1996 Summer Olympics
Germany;Volleyball;1996 Summer Olympics;Women's beach volleyball;;Danja Müsch;Beate Bühler;1996 Summer Olympics
Germany;Volleyball;2000 Summer Olympics;Women's volleyball;;Anja-Nadin Pietrek;Christina Schultz;Judith Flemig;Christina Benecke;Tanja Hart;Judith Sylvester;Angelina Grün;Sylvia Roll;Susanne Lahme;Beatrice Doemeland;Kerstin Tzscherlich;Hanka Pachale;2000 Summer Olympics
Russia;Swimming;2012 Summer Olympics;Women's 200 metre breaststroke;Bronze medal;Yuliya Efimova;2012 Summer Olympics
Denmark;Cycling;2012 Summer Olympics;Men's Omnium;Gold medal;Lasse Norman Hansen;2012 Summer Olympics
Bahrain;Athletics;2012 Summer Olympics;Women's 1500 metres;Bronze medal;Maryam Yusuf Jamal;2012 Summer Olympics
Canada;Wrestling;2012 Summer Olympics;Women's freestyle 55 kg;Silver medal;Tonya Verbeek;2012 Summer Olympics
Germany;Rowing;2012 Summer Olympics;Men's quadruple sculls;Gold medal;Tim Grohmann;Lauritz Schoof;Karl Schulze;Phillipp Wende;2012 Summer Olympics
United States of America;Athletics;2012 Summer Olympics;Women's pole vault;Gold medal;Jennifer Stuczynski;2012 Summer Olympics
South Africa;Swimming;;;2012 Summer Olympics
United States of America;Athletics;2012 Summer Olympics;Women's 400 metres;Bronze medal;DeeDee Trotter;2012 Summer Olympics
France;Snowboarding;2010 Winter Olympics;Men's snowboard cross;Bronze medal;Tony Ramoin;2010 Winter Olympics
Mixed team;Tennis;1896 Summer Olympics;Men's doubles;Gold medal;John Pius Boland;Friedrich Traun;1896 Summer Olympics
France;Alpine Skiing;1988 Winter Olympics;Men's Downhill;Bronze medal;Franck Piccard;1988 Winter Olympics
Hungary;Boxing;1996 Summer Olympics;Bantamweight;Gold medal;István Kovács;1996 Summer Olympics
Australia;Athletics;1952 Summer Olympics;Women's 80m Hurdles;Gold medal;Shirley Strickland;1952 Summer Olympics
United States of America;Boxing;1992 Summer Olympics;Lightweight;Gold medal;Oscar de la Hoya;1992 Summer Olympics
Germany;Shooting;1936 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Cornelius van Oyen;1936 Summer Olympics
Austria;Ski jumping;1998 Winter Olympics;Normal Hill;Bronze medal;Andreas Widhölzl;1998 Winter Olympics
Austria;Alpine Skiing;1952 Winter Olympics;Men's downhill;Silver medal;Othmar Schneider;1952 Winter Olympics
United States of America;Athletics;1992 Summer Olympics;Men's 400 metres;Gold medal;Quincy Watts;1992 Summer Olympics
Unified Team;Tennis;1992 Summer Olympics;Men's Singles;Bronze medal;Andrei Cherkasov;1992 Summer Olympics
Unified Team;Athletics;1992 Summer Olympics;Men's shot put;Bronze medal;Vyacheslav Lykho;1992 Summer Olympics
Norway;Speed Skating;1992 Winter Olympics;Men's 10000m;Bronze medal;Geir Karlstad;1992 Winter Olympics
Netherlands;Speed Skating;1994 Winter Olympics;Men's 10000m;Bronze medal;Bart Veldkamp;1994 Winter Olympics
Austria;Alpine Skiing;1998 Winter Olympics;Men's Combined;Gold medal;Mario Reiter;1998 Winter Olympics
Soviet Union;Swimming;1980 Summer Olympics;Women's 100 metre breaststroke;Silver medal;Elvira Vasilkova;1980 Summer Olympics
United States of America;Athletics;1956 Summer Olympics;Men's high jump;Gold medal;Charles Dumas;1956 Summer Olympics
Germany;Alpine Skiing;1994 Winter Olympics;Women's Giant Slalom;Silver medal;Martina Ertl;1994 Winter Olympics
Netherlands;Cycling;1948 Summer Olympics;Men's individual road race;Silver medal;Gerrit Voorting;1948 Summer Olympics
France;Fencing;1972 Summer Olympics;Men's Épée, Individual;Silver medal;Jacques Ladegaillerie;1972 Summer Olympics
Czechoslovakia;Boxing;1952 Summer Olympics;Featherweight;Gold medal;Ján Zachara;1952 Summer Olympics
Finland;Athletics;1912 Summer Olympics;Men's 10000 metres;Gold medal;Hannes Kolehmainen;1912 Summer Olympics
Cuba;Boxing;1976 Summer Olympics;Heavyweight;Gold medal;Teófilo Stevenson;1976 Summer Olympics
Switzerland;Freestyle Skiing;1994 Winter Olympics; Men's Aerials;Gold medal;Andreas Schönbächler;1994 Winter Olympics
Japan;Athletics;1936 Summer Olympics;Men's marathon;Gold medal;Sohn Kee-chung;1936 Summer Olympics
Norway;Speed Skating;1980 Winter Olympics;Men's 1500m;Bronze medal;Terje Andersen;1980 Winter Olympics
Romania;Boxing;1988 Summer Olympics;Featherweight;Silver medal;Daniel Dumitrescu;1988 Summer Olympics
Norway;Biathlon;1984 Winter Olympics;Men's 10km Sprint;Gold medal;Eirik Kvalfoss;1984 Winter Olympics
Canada;Speed Skating;2002 Winter Olympics;Women’s 3000m;Bronze medal;Cindy Klassen;2002 Winter Olympics
Russia;Figure Skating;2002 Winter Olympics;Men's Singles;Silver medal;Evgeni Plushenko;2002 Winter Olympics
Soviet Union;Gymnastics;1956 Summer Olympics;Men's pommel horse;Bronze medal;Viktor Chukarin;1956 Summer Olympics
Hungary;Swimming;1988 Summer Olympics;Men's 400 metre individual medley;Gold medal;Tamás Darnyi;1988 Summer Olympics
Finland;Gymnastics;1948 Summer Olympics;Men's pommel horse;Gold medal;Paavo Aaltonen;1948 Summer Olympics
Italy;Alpine Skiing;1992 Winter Olympics;Men's Giant Slalom;Gold medal;Alberto Tomba;1992 Winter Olympics
Armenia;Boxing;2008 Summer Olympics;Lightweight;Bronze medal;Hrachik Javakhyan;2008 Summer Olympics
France;Croquet;1900 Summer Olympics;Singles; two balls;Bronze medal;Sautereau;1900 Summer Olympics
Poland;Shooting;1936 Summer Olympics;Men's 50 metre rifle; prone;Bronze medal;Wladyslaw Karas;1936 Summer Olympics
Soviet Union;Gymnastics;1960 Summer Olympics;Women's uneven bars;Bronze medal;Tamara Lyukhina-Zamotailova;1960 Summer Olympics
South Korea;Wrestling;1984 Summer Olympics Men's Freestyle Bantamweight;Bronze medal;Eui-Kon Kim;1984 Summer Olympics
Germany;Modern Pentathlon;1928 Summer Olympics;Men's Individual;Bronze medal;Helmut Kahl;1928 Summer Olympics
United States of America;Gymnastics;1904 Summer Olympics;Men's pommel horse;Silver medal;George Eyser;1904 Summer Olympics
German Democratic Republic;Figure Skating;1980 Winter Olympics;Women's Singles;Gold medal;Anett Pötzsch;1980 Winter Olympics
Sweden;Cross-Country Skiing;1948 Winter Olympics;Men's 18 km;Gold medal;Martin Lundström;1948 Winter Olympics
South Africa;Boxing;1920 Summer Olympics;Bantamweight;Gold medal;Clarence Walker;1920 Summer Olympics
South Africa;Swimming;1952 Summer Olympics;Women's 100 metre backstroke;Gold medal;Joan Harrison;1952 Summer Olympics
Greece;Athletics;1908 Summer Olympics;Men's standing high jump;Silver medal;Konstantinos Tsiklitiras;1908 Summer Olympics
United States of America;Figure Skating;1994 Winter Olympics;Women's Singles;Silver medal;Nancy Kerrigan;1994 Winter Olympics
North Korea;Weightlifting;2008 Summer Olympics;Women's 58 kg;Bronze medal;O Jong Ae;2008 Summer Olympics
Germany;Alpine Skiing;1952 Winter Olympics;Women's Slalom;Silver medal;Ossi Reichert;1952 Winter Olympics
United Kingdom;Boxing;1924 Summer Olympics;Men's light heavyweight;Gold medal;Harry Mitchell;1924 Summer Olympics
United States of America;Athletics;1912 Summer Olympics;Men's shot put;Bronze medal;Lawrence Whitney;1912 Summer Olympics
United States of America;Athletics;1912 Summer Olympics;Men's pole vault;Silver medal;Frank Nelson;1912 Summer Olympics
Austria;Athletics;1968 Summer Olympics;Women's Javelin Throw;Bronze medal;Eva Janko;1968 Summer Olympics
France;Cycling;1896 Summer Olympics;Men's sprint;Gold medal;Paul Masson;1896 Summer Olympics
Soviet Union;Wrestling;1976 Summer Olympics;Men's Greco-Roman Light Heavyweight;Gold medal;Valeri Rezantsev;1976 Summer Olympics
Soviet Union;Shooting;1960 Summer Olympics;Men's 50 metre rifle three positions;Silver medal;Murat Niyazov;1960 Summer Olympics
United States of America;Athletics;1948 Summer Olympics;Men's 400 metres;Bronze medal;Mal Whitfield;1948 Summer Olympics
Japan;Athletics;1968 Summer Olympics;Men's Marathon;Silver medal;Kenji Kimihara;1968 Summer Olympics
Soviet Union;Wrestling;1976 Summer Olympics;Men's Freestyle Bantamweight;Gold medal;Vladimir Yumin;1976 Summer Olympics
United Kingdom;Wrestling;1928 Summer Olympics;Men's Freestyle Middleweight;Bronze medal;Samuel Rabin;1928 Summer Olympics
Japan;Judo;1992 Summer Olympics;Men's Heavyweight (+95kg);Silver medal;Naoya Ogawa;1992 Summer Olympics
Hungary;Canoeing;1992 Summer Olympics;Women's K-1 500 metres;Silver medal;Rita Köbán;1992 Summer Olympics
Belarus;Athletics;1996 Summer Olympics;Men's discus throw;Bronze medal;Vasiliy Kaptyukh;1996 Summer Olympics
Belgium;Wrestling;1956 Summer Olympics;Men's Freestyle Featherweight;Silver medal;Joseph Mewis;1956 Summer Olympics
China;Athletics;2008 Summer Olympics;Women's hammer throw;Bronze medal;Zhang Wenxiu;2008 Summer Olympics
China;Sailing;2008 Summer Olympics;Women's Laser Radial class;Bronze medal;Xu Lijia;2008 Summer Olympics
United States of America;Archery;1904 Summer Olympics;Women's Double National Round;Bronze medal;Jessie Pollock;1904 Summer Olympics
